"SampleID","Sample","B.cells","Macrophages.M1","Macrophages.M2","Monocytes","Neutrophils","NK.cells","T.cells.CD4","T.cells.CD8","Tregs","Dendritic.cells","Other","GDPD2","Group"
"TCGA-49-AAR4-01A-12R-A41B-07",NA,0.0255593784659609,0.064487361904048,0.0515529408746797,0,0.0656617102590576,0.0296230222631458,0,0.150895866078044,0.0454198993313692,0,0.566799820823695,4.66751615668688,"High"
"TCGA-49-AAR9-01A-21R-A41B-07",NA,0.01972030216765,0.0451717093347929,0.00302911504727991,0,0.083071946784213,0.00788952913764894,0.0152699875191995,0.00549997280111291,0.0233725490538423,0.000737603340401396,0.796237284813859,4.4401089222448,"Low"
"TCGA-49-AARE-01A-11R-A41B-07",NA,0.0215462323960525,0.0205970882849726,0.0339861712028318,0,0.045617303430579,0.0222277917130517,0.00316574411291352,0.0119695724513738,0.029967105902347,0.0182632443492534,0.792659746156625,5.12533892848113,"High"
"TCGA-49-AARN-01A-21R-A41B-07",NA,0.0359282739179618,0.0880159860253182,0.0550522354040111,0,0.141618636953542,0.0260780119566401,0,0.00743847472691099,0.0312946228824631,0,0.614573758133152,5.24211045020367,"High"
"TCGA-49-AARO-01A-12R-A41B-07",NA,0.0382642280602076,0.126688406466843,0.063245444104969,0,0.0567085623613374,0.0373462681262915,0,0.01158506052669,0.0712010766117185,0,0.594960953741943,4.83851567545028,"High"
"TCGA-49-AARQ-01A-11R-A41B-07",NA,0.0116549887389046,0.0341639870886808,0.0704963073474817,0,0.112753575529288,0.0371265866458282,0,0.0192911757402078,0.0195833907767837,7.94564123589392e-06,0.694922042491589,4.55663477143466,"High"
"TCGA-49-AARR-01A-11R-A41B-07",NA,0.043969978700854,0.042663785231652,0.0852133945730277,0,0.112935888358019,0.0405187420312997,0,0.0110982844224484,0.0599276184059542,0.00848298484465753,0.595189323432087,5.08220893300434,"High"
"TCGA-4B-A93V-01A-11R-A39D-07",NA,0.0165017363517659,0.0303348568393424,0.053353435611141,0,0.0723208615422658,0.0222915096074722,0,0.00265982920373292,0.0197824566605355,0.00165770100378709,0.781097613179957,4.41803543927624,"Low"
"TCGA-50-5044-01A-21R-1858-07",NA,0.00823976733448193,0.0154186930491979,0.0504070997458353,0,0.112856994605083,0.00923920259804817,0.00884359436936946,0.0153503750645311,0.0215564565362712,0,0.758087816697182,3.5833246741021,"Low"
"TCGA-50-5045-01A-01R-1628-07",NA,0.056343535677906,0.124313199374757,0.093463655535354,0,0.0505157081756961,0.0173501063831185,0,0.0366736579713971,0.0812585459449862,0,0.540081590936785,4.63367716815662,"High"
"TCGA-50-5049-01A-01R-1628-07",NA,0.0518412973720939,0.125930909141588,0.102132122706628,0,0.017537521788782,0.0126223727730883,0,0.113722646486747,0.0753687859220112,0.0274415720774451,0.473402771731616,4.03710593126822,"Low"
"TCGA-50-5051-01A-21R-1858-07",NA,0.0176737631319577,0.0159884557646873,0.0738560553605627,0,0.0776222964311751,0.019354284567665,0,0.0045506450245516,0.0201431989343168,0,0.770811300785084,4.69960267661235,"High"
"TCGA-50-5055-01A-01R-1628-07",NA,0.147164881029545,0.081033583445081,0.0704488377764886,0,0.0798077859655784,0.0163151493219713,0.0898707773539787,0.0531267834431761,0.0636601146665194,0.000279935443487055,0.398292151554174,4.51040939087684,"High"
"TCGA-50-5066-01A-01R-1628-07",NA,0.0279078613785101,0.0945341971742774,0.0631823510689959,0,0.0568723086327549,0.0142472662169425,0,0.0655526361448057,0.0301618033637682,0,0.647541576019945,4.14001719217931,"Low"
"TCGA-50-5068-01A-01R-1628-07",NA,0.0302771396789846,0.0723815860151689,0.12312973235047,0,0.11083595129107,0.019195007115846,0,0.0409935599018339,0.0490142600970085,0,0.554172763549619,4.13872949112509,"Low"
"TCGA-50-5072-01A-21R-1858-07",NA,0.0157138951166325,0.0636177849196494,0.0457688587974086,0,0.0716331302136667,0.0186139194744726,0,0.00243018471840509,0.0321250457679846,0,0.750097180991781,4.97959808695065,"High"
"TCGA-50-5930-01A-11R-1755-07",NA,0.0374397875736983,0.0478462205881617,0.0649361296299224,0,0.0525902681689142,0.0138306313070442,0,0.0217573836010667,0.0268872229737527,0,0.73471235615744,4.27405334180413,"Low"
"TCGA-50-5931-01A-11R-1755-07",NA,0.0207160739655258,0.0104757281996608,0.0127964224201364,0,0.124131364514881,0.0226676536233877,0,0.00154746782391902,0.00894329477816568,0.0328849554505498,0.765837039223773,4.82641895014903,"High"
"TCGA-50-5932-01A-11R-1755-07",NA,0.0148198341819517,0.0803739136047281,0.0672049318607267,0,0.0667879733933519,0.0232254615790626,0,0,0.0245426066670883,0,0.723045278713091,3.99242459533367,"Low"
"TCGA-50-5933-01A-11R-1755-07",NA,0.0242436565463036,0.211542969782509,0.0371803881724657,0,0.0210473505911124,0.0207450005761908,0,0.00578596587941936,0.0379192098157902,0,0.641535458636209,4.8242718068229,"High"
"TCGA-50-5935-01A-11R-1755-07",NA,0.0189562559342697,0.0825699559923153,0.0773544649126174,0,0.179549606365456,0.0231342647302543,0,0.0109721577392681,0.0464986552026792,0,0.56096463912314,4.26278342511636,"Low"
"TCGA-50-5936-01A-11R-1628-07",NA,0.0260543661181838,0.0772502139278556,0.0440439480644331,0,0.0836813658766137,0.0154207616377414,0.00554454158926702,0.00332227865516747,0.0386302530328659,0.00427181790276469,0.701780453195107,4.11770688589415,"Low"
"TCGA-50-5939-01A-11R-1628-07",NA,0.0412848421030512,0.117773124757464,0.0730639597294579,0,0.0784171505837516,0.0125699455514136,0,0.000751532657516918,0.043346459042272,0.0052672074868291,0.627525778088244,4.46853638280023,"Low"
"TCGA-50-5941-01A-11R-1755-07",NA,0.0382231002881195,0.18211097151062,0.0775884347924192,0,0.0803758448575908,0.0144786576082602,0,0.0575747443359855,0.0804403602356561,0,0.469207886371349,4.72917431901416,"High"
"TCGA-50-5942-01A-21R-1755-07",NA,0.0189230241389637,0.02081978510785,0.0857686192077118,0,0.186075039324819,0.0160033985890069,0.00446629822665242,0.00855947881295587,0.0270578972766486,0,0.632326459315392,4.51074886436243,"High"
"TCGA-50-5944-01A-11R-1755-07",NA,0.0147964624253386,0.126375371214161,0.100271812532016,0,0.0898977667007387,0.0253503640783008,0,0.0024114053302462,0.0320699732489687,0,0.60882684447023,4.52355110644838,"High"
"TCGA-50-5946-01A-11R-1755-07",NA,0.0165340595803457,0.143206700693694,0.0135349701365147,0.0171313529410021,0.0619299393650779,0.03417592034278,0,0.00719488104426075,0.0360174472631138,0,0.670274728633211,4.58952789885492,"High"
"TCGA-50-6590-01A-12R-1858-07",NA,0.0410829564601847,0.0857153953745285,0.0427374532410487,0,0.0440918931884622,0.010951012801105,0,0.0301766152435951,0.0469286617085369,0.0171176899207508,0.681198322061788,4.65735949438797,"High"
"TCGA-50-6591-01A-11R-1755-07",NA,0.0547170776394758,0,0.0401806702763058,0,0,0.0495767703178022,0.00931680719463112,0,0.0201823592358985,0.110587975707105,0.715438339628781,4.51415582115264,"High"
"TCGA-50-6592-01A-11R-1755-07",NA,0.0229352044265705,0.231608239404646,0.0230269773662352,0,0.144992725098541,0.0114019948209265,0,0.043704144048266,0.0533394940380828,0,0.468991220796732,4.71831553446359,"High"
"TCGA-50-6593-01A-11R-1755-07",NA,0.021489427509339,0.171067079326427,0.0551291245917177,0,0.11365493077263,0.0184767929725894,0,0,0.0394640415293265,0,0.580718603297971,4.80594221991222,"High"
