"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098739","import across plasma membrane","35/806","278/18842",0.12589928057554,2.94316903797062,6.89996014733955,1.09308906179438e-08,1.92748037896409e-06,1.92748037896409e-06,"TRPV6/FXYD1/NTSR1/SLC46A2/SCNN1B/SCNN1G/SLC9A2/HCN1/CNGA3/SLC38A4/CLTRN/SLC6A19/ITLN1/SLC15A1/FXYD4/CACNA1B/KCNJ8/TRPM1/PCSK9/SLC39A2/SLC5A1/SLC7A10/KCNK9/CACNA1S/SLC6A20/SLC1A6/ABCC8/SLC9A3/TRPV4/ATP12A/SLC9A4/SLC2A2/KCNJ18/SLC9C2/KCNJ16",35
"GO:0019731","antibacterial humoral response","18/806","86/18842",0.209302325581395,4.89289630099833,7.64894135365529,1.87828391211591e-08,3.16149333025691e-06,3.16149333025691e-06,"RPL39/WFDC5/FGB/KLK5/TAC1/RNASE7/PI3/IGHE/DAO/SPINK5/CALCA/DEFA5/BPIFA1/ELANE/KLK7/PGC/WFDC12/SPRR2A",18
"GO:0009410","response to xenobiotic stimulus","41/806","368/18842",0.111413043478261,2.60452179307369,6.57110553544548,2.1979305897778e-08,3.53866824954226e-06,3.53866824954226e-06,"ABCG8/SRD5A2/CYP3A7/CYP2C18/GAL/CYP3A4/SULT1B1/CYP1A1/AKR1C1/ACER2/SLCO1A2/CYP2C19/NPPC/AADAC/HNF4A/CYP2C9/GATA4/AIM2/CYP4F2/UGT2A3/CBR3/CSAG2/UGT1A8/UGT2B7/UGT1A10/SOX10/CYP4F12/SLC6A2/EPHX1/CYP2A13/UGT2B15/CYP2F1/CYP3A5/ABCC8/NR1I2/PDX1/UGT2B4/CYP2W1/CBR1/GSTA5/HTR1B",41
"GO:0042363","fat-soluble vitamin catabolic process","8/806","14/18842",0.571428571428571,13.3583835519319,9.77851655019723,2.58707735130601e-08,3.9916447632859e-06,3.99164476328591e-06,"CYP3A4/CYP4F2/CBR3/CYP4F8/CYP4F12/CYP4F3/CYP2W1/CYP26C1",8
"GO:0031424","keratinization","17/806","79/18842",0.215189873417722,5.03053051480981,7.58881563793077,3.00642603953306e-08,4.45311824975637e-06,4.45311824975637e-06,"KRT6B/KRT79/KLK5/CERS3/SPRR1B/SPRR2E/KRT16/KRT81/KRT74/PI3/KRT72/SPRR3/KRT6C/SPRR1A/KRT77/KRT5/CASP14",17
"GO:0042573","retinoic acid metabolic process","11/806","33/18842",0.333333333333333,7.79239040529363,8.25555241147902,6.69019925631292e-08,9.52838763312567e-06,9.52838763312567e-06,"CYP3A7/CYP2C18/CYP3A4/CYP1A1/ADH1A/UGT1A8/CYP3A5/ADH6/AKR1C3/CYP2W1/CYP26C1",11
"GO:0009111","vitamin catabolic process","8/806","16/18842",0.5,11.6885856079404,9.04171026976647,1.02703934887e-07,1.408565447728e-05,1.408565447728e-05,"CYP3A4/CYP4F2/CBR3/CYP4F8/CYP4F12/CYP4F3/CYP2W1/CYP26C1",8
"GO:0008210","estrogen metabolic process","12/806","42/18842",0.285714285714286,6.67919177596597,7.78899880486682,1.17023028324106e-07,1.52530826583531e-05,1.52530826583531e-05,"CYP3A7/HSD17B2/CYP3A4/SULT1E1/CYP1A1/CYP2C9/UGT1A8/UGT2B7/UGT1A10/UGT2B15/CYP3A5/UGT2B4",12
"GO:0007018","microtubule-based movement","48/806","496/18842",0.0967741935483871,2.26230689185944,6.02260637315206,1.19454333538277e-07,1.52530826583531e-05,1.52530826583531e-05,"TAC3/TMEM232/GAS2L2/SPAG8/DNAI1/CFAP100/CFAP161/TAC1/DNAH6/CFAP58/TEKT4/TTLL6/ROPN1L/CFAP65/CFAP73/TEKT1/CFAP47/LRRC46/PACRG/NEK10/TTC29/CFAP206/DNAAF6/DYNLRB2/IQCF1/RSPH1/RSPH14/NEFL/DNAH12/DNAI2/CFAP53/FSIP2/CFAP52/CFAP70/CFAP46/DNAH10/DRC7/DNAI3/DNAH3/KIF1A/DNAAF1/HOATZ/CFAP43/CFAP77/DNAH9/HYDIN/SYBU/RSPH4A",48
"GO:0035725","sodium ion transmembrane transport","26/806","191/18842",0.136125654450262,3.18223273095761,6.40790508605288,1.79416303661691e-07,2.14274358884691e-05,2.14274358884691e-05,"FGF12/SLC5A8/FXYD1/SCNN1B/SCNN1G/SLC9A2/HCN1/CNGA3/SLC38A4/SLC6A19/SLC13A2/FXYD4/PCSK9/SLC6A2/SLC5A1/BPIFA1/KCNK9/SLC6A20/SLC9A3/SLC13A5/ATP12A/SCN4A/SLC9A4/TRPM5/SLC9C2/SCN3A",26
