"Gene","Beta","HR","Pvalue","FDR"
"NXNP1",1.87062636054253,6.49236168517387,0.00135606749844263,0.0548439060807512
"MYO1E",0.280290499269399,1.323514236416,0.00135611616781196,0.0548439060807512
"AP000763.3",-0.575732750841405,0.562292697368801,0.00135863574686766,0.054906414957284
"ZNF43",-0.248647958872558,0.779854465910956,0.00135991887573664,0.0549189015318974
"AL031600.2",-0.808091452783376,0.445707909572136,0.0013618344397258,0.0549568921789417
"AC022784.1",0.186304306171208,1.20478882927596,0.00136329425718379,0.0549620683305085
"RGL4",-0.377314921674633,0.685700098066891,0.00136391254424545,0.0549620683305085
"CAT",-0.308188835232447,0.734776553206418,0.00137758609971029,0.0554734242551911
"RN7SL145P",-0.575194848195669,0.562595237459656,0.00137990053142254,0.0555208703976629
"JPT1",0.285429183103517,1.33033286200301,0.00138396526842509,0.0555208703976629
"KRT83",0.180417907278895,1.19771779353175,0.00138431377955757,0.0555208703976629
"PSMC6",0.420321256929958,1.52245057486171,0.00138466325181335,0.0555208703976629
"TRBJ1-3",-0.572022675597801,0.564382720258689,0.0013850552409488,0.0555208703976629
"CDCA8",0.219453213733712,1.24539557918344,0.00138575681603556,0.0555208703976629
"SAMD13",0.228665832502314,1.25692194636149,0.00138584781403578,0.0555208703976629
"FUCA1",-0.316506569722014,0.728690224251851,0.00138664299559936,0.0555208703976629
"AC107884.1",-0.27359634815589,0.760639046655814,0.00138789829710004,0.0555277268235177
"DARS1",0.516801906795404,1.67665696106139,0.0013887841425635,0.0555277268235177
"AL356608.1",-0.80299735033984,0.447984184189016,0.00139065941963201,0.0555282893233624
"AC009970.1",-0.755688694389772,0.469687032494465,0.0013907681375867,0.0555282893233624
"FTSJ3",0.548778158352752,1.7311365504023,0.00139204406651733,0.0555398982972265
"LINC01806",-0.235810611937643,0.789930263129083,0.00139503055988715,0.0556160377861699
"MUC2",0.121837353161176,1.12957036578946,0.00139592545529002,0.0556160377861699
"AC023511.1",0.909273878509092,2.48251926817702,0.00139869670802667,0.0556287383984951
"DENND1C",-0.381094505507716,0.683113328597315,0.00139891515079327,0.0556287383984951
"CFP",-0.41507297825056,0.660292091984909,0.00139920446730996,0.0556287383984951
"NRAS",0.400502616426214,1.49257470170573,0.00140568398093897,0.0558469627268607
"GPR75",-0.419417726846386,0.657429511943767,0.00140862813357311,0.0559245208861391
"TMEM50B",-0.388575442879699,0.678022068012999,0.00141047142045884,0.0559582947218773
"TMPO",0.319924217745949,1.37702340644415,0.00141642651907938,0.0560397988138201
"MTMR10",-0.468126421073646,0.626174357018991,0.00141644104517659,0.0560397988138201
"EIF5B",0.354874559356935,1.42600176448334,0.00141651913727369,0.0560397988138201
"RUBCNL",-0.241430705289396,0.785503233122349,0.00141701381592684,0.0560397988138201
"NMI",0.366142494619218,1.44216072815769,0.00141761717325797,0.0560397988138201
"SET",0.493778530336507,1.63849564352885,0.00141849001183697,0.0560397988138201
"WSB2",0.409112328568678,1.50548081949368,0.0014214452408963,0.0560450273987091
"HNRNPR",0.612992101344481,1.84594640265511,0.0014218928607336,0.0560450273987091
"AP002358.1",-0.296761646002447,0.743221140981463,0.00142394635505357,0.0560450273987091
"WDR3",0.429375751464059,1.53629819225157,0.00142447368517558,0.0560450273987091
"STK32A",-0.144367475364491,0.865569614100155,0.00142516927647009,0.0560450273987091
"TCP1",0.43427456602795,1.54384269668637,0.0014263666571947,0.0560450273987091
"AL390208.1",-0.618222005610255,0.538901750583081,0.00142660304347824,0.0560450273987091
"CXorf21",-0.257759285210646,0.772781229590755,0.00142706130669649,0.0560450273987091
"HPGDS",-0.204267849721869,0.815243979067415,0.00142838370050842,0.0560450273987091
"AC079601.1",-0.792683998594702,0.452628309742626,0.00142856365070145,0.0560450273987091
"AC008033.3",-0.429788875426221,0.650646447677461,0.00143111175598471,0.0561059501776037
"AC092651.2",0.984289125351003,2.67590897228377,0.00143233192305268,0.0561147633731883
"LINC02649",-0.355605685892963,0.700748880934171,0.00143847151754915,0.0563161599120494
"RBM5-AS1",-0.574298512069861,0.563099737962435,0.00143978834153127,0.0563215231230945
"HERPUD1",-0.3574531268398,0.699455483863304,0.00144060657626476,0.0563215231230945
"YES1",0.39421414444077,1.4832181375872,0.0014440256924696,0.0564160723760678
"LRRC59",0.441657616154304,1.55528314543887,0.00144610754984754,0.0564323382563964
"ZNF433-AS1",-0.436950127084615,0.646003648692542,0.00144739150062866,0.0564323382563964
"LINC02613",-0.493809948296446,0.610296760008439,0.00144744503190629,0.0564323382563964
"ABCC6P2",-0.300648256888278,0.740338135793179,0.0014512674504905,0.0564969633398677
"RNA5SP226",1.79164105386418,5.99928954988167,0.00145297506505053,0.0564969633398677
"NUP62CL",0.274089486168159,1.31533250103781,0.0014531916858667,0.0564969633398677
"LINC02535",0.27825301694323,1.32082034486102,0.00145360996637732,0.0564969633398677
"PXN",0.414302604699392,1.51331499383335,0.00145541299097191,0.0564969633398677
"GARS1",0.375086974749297,1.4551179676351,0.00145634129365416,0.0564969633398677
"LINC00707",0.168224654342346,1.1832023923475,0.00145702159651657,0.0564969633398677
"ACTN4",0.362555891176553,1.43699753422459,0.00145716419008363,0.0564969633398677
"ADGRF4",0.126976730911453,1.13539059796974,0.00145812192527862,0.0564969633398677
"AURKA",0.210481442153287,1.23427214757633,0.0014613296744445,0.0565303717728991
"AL513365.1",-0.637486063505204,0.52861967131996,0.00146369178092025,0.0565303717728991
"RPL31P40",-0.708341832898891,0.4924601019607,0.0014647136872607,0.0565303717728991
"AC010343.3",0.236862677406845,1.26726708142415,0.00146517813903452,0.0565303717728991
"CDC25A",0.228696891223903,1.25696098535653,0.00146701798141705,0.0565303717728991
"TPPP2",-0.919004543532901,0.398915946959708,0.00146796991206899,0.0565303717728991
"AC093583.1",-0.476439645224118,0.620990406757139,0.00146850579859188,0.0565303717728991
"SH3BP5",-0.269459152347575,0.763792478014834,0.00146925783757919,0.0565303717728991
"SRSF9",0.478782734644471,1.61410840762244,0.00146998758732876,0.0565303717728991
"AP3S1",0.521411297288406,1.68440316664596,0.00147179915493578,0.0565303717728991
"AC009961.2",-0.822470178432679,0.43934505233511,0.0014722875207753,0.0565303717728991
"AC010976.2",-0.399787582471156,0.670462448887248,0.00147410350878257,0.0565303717728991
"ARF3",0.534559890315644,1.70669694308641,0.00147454807608536,0.0565303717728991
